INFO   | jvm 1    | 2018/08/13 14:38:16 | GatewayService                                    [ STARTED ]
INFO   | jvm 1    | 2018/08/13 14:38:16 | FOSService                                        [ STARTED ]
INFO   | jvm 1    | 2018/08/13 14:38:16 | Connect to : https://hari-3021:7272/
INFO   | jvm 1    | 2018/08/13 14:38:16 | 
INFO   | jvm 1    | 2018/08/13 14:38:16 | Server started in :: [35928 ms]
INFO   | jvm 1    | 2018/08/13 14:38:16 | 
STATUS | wrapper  | 2018/08/14 20:16:33 | INT trapped.  Shutting down.
STATUS | wrapper  | 2018/08/14 20:16:34 | INT trapped.  Forcing immediate shutdown.
INFO   | jvm 1    | 2018/08/14 20:16:34 | System going to Shutdown --- received process interrupt
INFO   | jvm 1    | 2018/08/14 20:16:34 | Shutting down the JVM now!
INFO   | jvm 1    | 2018/08/14 20:16:34 | Stopping Services
INFO   | jvm 1    | 2018/08/14 20:16:34 | FOSService                                        [ STOPPED ]
INFO   | jvm 1    | 2018/08/14 20:16:34 | GatewayService                                    [ STOPPED ]
ERROR  | wrapper  | 2018/08/14 20:16:34 | JVM did not exit on request, termination requested.
STATUS | wrapper  | 2018/08/14 20:16:34 | JVM received a signal SIGKILL (9).
STATUS | wrapper  | 2018/08/14 20:16:34 | JVM process is gone.
STATUS | wrapper  | 2018/08/14 20:16:34 | JVM exited after being requested to terminate.
STATUS | wrapper  | 2018/08/14 20:16:34 | INT trapped.  Forcing immediate shutdown.
STATUS | wrapper  | 2018/08/14 20:16:34 | INT trapped.  Forcing immediate shutdown.
STATUS | wrapper  | 2018/08/14 20:16:34 | <-- Wrapper Stopped
STATUS | wrapper  | 2018/08/20 12:41:42 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/20 12:41:42 | Java Service Wrapper Community Edition 64-bit 3.5.25
STATUS | wrapper  | 2018/08/20 12:41:42 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/20 12:41:42 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/20 12:41:42 |   Licensed to Zoho Corporation Pvt. Ltd. for Password Manager Pro
STATUS | wrapper  | 2018/08/20 12:41:42 | 
STATUS | wrapper  | 2018/08/20 12:41:42 | Launching a JVM...
INFO   | jvm 1    | 2018/08/20 12:41:43 | WrapperManager: Initializing...
INFO   | jvm 1    | 2018/08/20 12:41:44 | Starting Server from location: /Users/hari-3021/work/build/9702/AdventNet/PMP
INFO   | jvm 1    | 2018/08/20 12:41:56 | This evaluation copy is valid for 22 days
INFO   | jvm 1    | 2018/08/20 12:42:00 | Modules already Populated
INFO   | jvm 1    | 2018/08/20 12:42:00 | 
INFO   | jvm 1    | 2018/08/20 12:42:00 | Persistence                                       [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:00 | SQNS                                              [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:00 | Audit                                             [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:00 | Authentication                                    [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:00 | Authorization                                     [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:00 | CustomView                                        [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:00 | TaskEngine                                        [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:00 | Tomcat                                            [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:01 | ClientFramework                                   [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:01 | ClientComponents                                  [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:01 | pki                                               [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:01 | PassTrix                                          [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:01 | PIM                                               [ LOADED ]
INFO   | jvm 1    | 2018/08/20 12:42:01 | 
INFO   | jvm 1    | 2018/08/20 12:42:01 | Creating Services
INFO   | jvm 1    | 2018/08/20 12:42:01 | CacheService                                      [ CREATED ]
INFO   | jvm 1    | 2018/08/20 12:42:01 | AuthenticationService                             [ CREATED ]
INFO   | jvm 1    | 2018/08/20 12:42:01 | AuthorizationService                              [ CREATED ]
INFO   | jvm 1    | 2018/08/20 12:42:01 | TaskEngineService                                 [ CREATED ]
INFO   | jvm 1    | 2018/08/20 12:42:01 | WebService                                        [ CREATED ]
INFO   | jvm 1    | 2018/08/20 12:42:01 | ClientFrameworkService                            [ CREATED ]
INFO   | jvm 1    | 2018/08/20 12:42:02 | TemplateService                                   [ CREATED ]
INFO   | jvm 1    | 2018/08/20 12:42:02 | TableTemplateService                              [ CREATED ]
INFO   | jvm 1    | 2018/08/20 12:42:02 | SSLDiscoveringService                             [ CREATED ]
INFO   | jvm 1    | 2018/08/20 12:42:02 | PassTrixService                                   [ CREATED ]
INFO   | jvm 1    | 2018/08/20 12:42:02 | GatewayService                                    [ CREATED ]
INFO   | jvm 1    | 2018/08/20 12:42:02 | FOSService                                        [ CREATED ]
INFO   | jvm 1    | 2018/08/20 12:42:02 | 
INFO   | jvm 1    | 2018/08/20 12:42:02 | Starting Services
INFO   | jvm 1    | 2018/08/20 12:42:02 | CacheService                                      [ STARTED ]
INFO   | jvm 1    | 2018/08/20 12:42:02 | AuthenticationService                             [ STARTED ]
INFO   | jvm 1    | 2018/08/20 12:42:02 | AuthorizationService                              [ STARTED ]
INFO   | jvm 1    | 2018/08/20 12:42:02 | TaskEngineService                                 [ STARTED ]
INFO   | jvm 1    | 2018/08/20 12:42:09 | WebService                                        [ STARTED ]
INFO   | jvm 1    | 2018/08/20 12:42:09 | ClientFrameworkService                            [ STARTED ]
INFO   | jvm 1    | 2018/08/20 12:42:09 | TemplateService                                   [ STARTED ]
INFO   | jvm 1    | 2018/08/20 12:42:09 | TableTemplateService                              [ STARTED ]
INFO   | jvm 1    | 2018/08/20 12:42:10 | SSLDiscoveringService                             [ STARTED ]
INFO   | jvm 1    | 2018/08/20 12:42:12 | PassTrixService                                   [ STARTED ]
INFO   | jvm 1    | 2018/08/20 12:42:12 | GatewayService                                    [ STARTED ]
INFO   | jvm 1    | 2018/08/20 12:42:12 | FOSService                                        [ STARTED ]
INFO   | jvm 1    | 2018/08/20 12:42:12 | Connect to : https://hari-3021:7272/
INFO   | jvm 1    | 2018/08/20 12:42:12 | 
INFO   | jvm 1    | 2018/08/20 12:42:12 | Server started in :: [28138 ms]
INFO   | jvm 1    | 2018/08/20 12:42:12 | 
INFO   | jvm 1    | 2018/08/20 22:17:41 | System going to Shutdown --- received process interrupt
INFO   | jvm 1    | 2018/08/20 22:17:41 | Shutting down the JVM now!
INFO   | jvm 1    | 2018/08/20 22:17:41 | Stopping Services
INFO   | jvm 1    | 2018/08/20 22:17:41 | FOSService                                        [ STOPPED ]
INFO   | jvm 1    | 2018/08/20 22:17:41 | GatewayService                                    [ STOPPED ]
INFO   | jvm 1    | 2018/08/20 22:17:41 | PassTrixService                                   [ STOPPED ]
INFO   | jvm 1    | 2018/08/20 22:17:41 | SSLDiscoveringService                             [ STOPPED ]
INFO   | jvm 1    | 2018/08/20 22:17:41 | TableTemplateService                              [ STOPPED ]
INFO   | jvm 1    | 2018/08/20 22:17:41 | TemplateService                                   [ STOPPED ]
INFO   | jvm 1    | 2018/08/20 22:17:41 | ClientFrameworkService                            [ STOPPED ]
INFO   | jvm 1    | 2018/08/20 22:17:41 | WebService                                        [ STOPPED ]
INFO   | jvm 1    | 2018/08/20 22:17:41 | TaskEngineService                                 [ STOPPED ]
INFO   | jvm 1    | 2018/08/20 22:17:41 | AuthorizationService                              [ STOPPED ]
INFO   | jvm 1    | 2018/08/20 22:17:41 | AuthenticationService                             [ STOPPED ]
INFO   | jvm 1    | 2018/08/20 22:17:41 | CacheService                                      [ STOPPED ]
INFO   | jvm 1    | 2018/08/20 22:17:41 | Destroying Services
INFO   | jvm 1    | 2018/08/20 22:17:41 | FOSService                                        [DESTROYED]
INFO   | jvm 1    | 2018/08/20 22:17:41 | GatewayService                                    [DESTROYED]
INFO   | jvm 1    | 2018/08/20 22:17:41 | PassTrixService                                   [DESTROYED]
INFO   | jvm 1    | 2018/08/20 22:17:41 | SSLDiscoveringService                             [DESTROYED]
INFO   | jvm 1    | 2018/08/20 22:17:41 | TableTemplateService                              [DESTROYED]
INFO   | jvm 1    | 2018/08/20 22:17:41 | TemplateService                                   [DESTROYED]
INFO   | jvm 1    | 2018/08/20 22:17:41 | ClientFrameworkService                            [DESTROYED]
INFO   | jvm 1    | 2018/08/20 22:17:41 | WebService                                        [DESTROYED]
INFO   | jvm 1    | 2018/08/20 22:17:41 | TaskEngineService                                 [DESTROYED]
INFO   | jvm 1    | 2018/08/20 22:17:41 | AuthorizationService                              [DESTROYED]
INFO   | jvm 1    | 2018/08/20 22:17:41 | AuthenticationService                             [DESTROYED]
INFO   | jvm 1    | 2018/08/20 22:17:41 | CacheService                                      [DESTROYED]
STATUS | wrapper  | 2018/08/20 22:17:43 | <-- Wrapper Stopped
